name,id,artist
Eddie And The Cruisers - Original Motion Picture Soundtrack,spotify:album:4B8MwUV7RpIy2d7DksNTEc,Soundtrack 
Star Wars Episode III: Revenge of the Sith [Original Motion Picture Soundtrack],spotify:album:5dbVApKV5xebsSjsSnYnTW,John Williams 
Daredevil - The Album - Music From The Motion Picture,spotify:album:3ZNPwZqc3snS2hqoeY9UdV,Soundtrack 
Black Hawk Down - Original Motion Picture Soundtrack,spotify:album:69YemlIMxeTYR4RHBjyJYj,Various Artists 
The Rocky Story,spotify:album:5SPoOMzF5s2ff8LJ2W6oyH,Original Soundtrack 
Another Happy Day (Original Motion Picture Soundtrack),spotify:album:0KbQLhslfkYGJokYeqsrVO,Ólafur Arnalds 
Student of the Year (Original Motion Picture Soundtrack),spotify:album:1Q9pYTcpVfz0eJTZZczELy,Vishal & Shekhar 
Fast Five (Original Motion Picture Soundtrack),spotify:album:4m2xhUYfu1TIPoSDpQAOp8,Various Artists 
The Thin Red Line,spotify:album:7wPDOZ30toNEBkr5uBIANF,Original Soundtrack 
Dirty Dancing (Legacy Edition),spotify:album:4PTzIGynzgfXSdwQylSYyz,Original Motion Picture Soundtrack 
Zabriskie Point,spotify:album:4MFO9sanJpQrAtv02HnkXu,Original Motion Picture Soundtrack 
How High The Original Motion Picture Soundtrack,spotify:album:0KssrWNqCXLG8lnxmFg0BB,How High The Original Motion Picture Soundtrack 
Halo 2 Volume 1: Original Soundtrack,spotify:album:0RItIZR9MqkKUigSjKEpyL,Various Artists 
About A Boy Soundtrack,spotify:album:04eNNm6nl6YzKkCfIFR7Rs,Badly Drawn Boy 
Beverly Hills Cop The Soundtrack,spotify:album:1xg3nFK5qsVsoP5insKHJS,Beverly Hills Cop The Soundtrack 
Music From Lord Of The Rings,spotify:album:2pcf75tVDLZl1bUHzDljVX,Soundtrack & Theme Orchestra 
Chico & Rita (BSO),spotify:album:3APUNlIRN7b1q7u0x8taeB,Original Soundtrack 
Another Cinderella Story,spotify:album:23fA68uXnE0HN4ZiDq8rxk,Original Motion Picture Soundtrack 
Let It Shine - Original Motion Picture Soundtrack,spotify:album:66E2Unfh0jWP2eka6gH40b,Various Artists 
La Soga Soundtrack,spotify:album:6jCjkECgYPGYLM38iLdloA,Various Artists 
Real Life Gangsters Soundtrack,spotify:album:6xDlSylEIUigd9MXvLxypt,Snoop Dogg 
Doctor Who Series 6 (Soundtrack from the TV Series),spotify:album:1MrQTGojMky5ZDtFIVr6eB,Murray Gold 
Music From The Motion Picture Queen Of The Damned,spotify:album:5Y7jGzXsLLm5vXDdtX18p4,Queen Of The Damned Soundtrack 
Playlist: The Soundtrack Of Our Lives,spotify:album:6dZ7UKZTAgO06i8UeLd0ii,The Soundtrack Of Our Lives 
Blade The Soundtrack,spotify:album:5BwN4Go6f0QUAO3xVPoj38,Blade The Soundtrack 
Matrix Revolutions: The Motion Picture Soundtrack,spotify:album:1KmaRPK3C2y8Z8SbKgmJxV,Matrix Revolutions: The Motion Picture Soundtrack 
Dirty Dancing: Havana Nights,spotify:album:3DLGOkKxYXAdIJ8d0YSOfm,Original Soundtrack 
DmC Devil May Cry (Original Game Soundtrack) [Bonus Version],spotify:album:4JQCPJYybLwO219M8AUbSE,Noisia 
Think Like A Man - Music From & Inspired By The Film,spotify:album:3dHlL1wTVqYGG2OVKZPOlV,Think Like A Man (Motion Picture Soundtrack) 
Halo 4: Original Soundtrack (Deluxe Edition),spotify:album:2NkS0htQV8JnF6v6ojZotD,Neil Davidge 
Ghostbusters,spotify:album:5yPHlWyVZRtYszki7TXfJw,Original Soundtrack 
Soundtrack to the Struggle...,spotify:album:6RLfzSwPv3wyLrB3Xir2cn,Lowkey 
The Harder They Come - Original Soundtrack,spotify:album:4UhiCJRMQrjZ1AQooan47K,Jimmy Cliff 
A Cinderella Story Original Soundtrack,spotify:album:4imm9S0Lb2jUS18MYxcpmI,Various Artists 
The Dukes Of Hazzard,spotify:album:4CvOd5ePKV2kpxayVWGlnq,Original Soundtrack 
